Year,Month,Predicted Rainfall (mm)
2026,Jan,38.71
2026,Feb,61.44
2026,Mar,100.83
2026,Apr,101.95
2026,May,35.72
2026,Jun,35.93
2026,Jul,111.55
2026,Aug,112.36
2026,Sep,49.15
2026,Oct,25.49
2026,Nov,14.28
2026,Dec,6.87
2027,Jan,39.77
2027,Feb,60.46
2027,Mar,99.94
2027,Apr,99.57
2027,May,38.31
2027,Jun,37.15
2027,Jul,112.03
2027,Aug,112.05
2027,Sep,50.6
2027,Oct,24.58
2027,Nov,14.8
2027,Dec,6.82
2028,Jan,40.73
2028,Feb,60.2
2028,Mar,98.78
2028,Apr,97.57
2028,May,39.59
2028,Jun,38.63
2028,Jul,111.15
2028,Aug,112.84
2028,Sep,51.18
2028,Oct,24.63
2028,Nov,15.05
2028,Dec,6.92
