system:time_start,precipitation
"Jan 1, 2020",58.013
"Feb 1, 2020",52.088
"Mar 1, 2020",163.857
"Apr 1, 2020",136.499
"May 1, 2020",56.315
"Jun 1, 2020",29.719
"Jul 1, 2020",33.793
"Aug 1, 2020",91.048
"Sep 1, 2020",83.962
"Oct 1, 2020",9.025
"Nov 1, 2020",31.598
"Dec 1, 2020",16.01
"Jan 1, 2021",13.916
"Feb 1, 2021",10.747
"Mar 1, 2021",115.996
"Apr 1, 2021",74.545
"May 1, 2021",45.613
"Jun 1, 2021",36.377
"Jul 1, 2021",173.134
"Aug 1, 2021",82.017
"Sep 1, 2021",73.183
"Oct 1, 2021",31.656
"Nov 1, 2021",2.012
"Dec 1, 2021",28.986
"Jan 1, 2022",84.439
"Feb 1, 2022",43.298
"Mar 1, 2022",35.688
"Apr 1, 2022",18.43
"May 1, 2022",21.415
"Jun 1, 2022",36.774
"Jul 1, 2022",138.697
"Aug 1, 2022",104.548
"Sep 1, 2022",35.115
"Oct 1, 2022",16.796
"Nov 1, 2022",35.222
"Dec 1, 2022",7.857
"Jan 1, 2023",28.166
"Feb 1, 2023",37.177
"Mar 1, 2023",85.137
"Apr 1, 2023",30.143
"May 1, 2023",59.044
"Jun 1, 2023",63.876
"Jul 1, 2023",73.461
"Aug 1, 2023",63.869
"Sep 1, 2023",59.318
"Oct 1, 2023",30.003
"Nov 1, 2023",23.377
"Dec 1, 2023",9.394
"Jan 1, 2024",17.86
"Feb 1, 2024",68.23
"Mar 1, 2024",105.218
"Apr 1, 2024",132.228
"May 1, 2024",16.51
"Jun 1, 2024",29.922
"Jul 1, 2024",115.69
"Aug 1, 2024",136.338
"Sep 1, 2024",25.831
"Oct 1, 2024",28.618
"Nov 1, 2024",11.424
"Dec 1, 2024",3.875
